"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 12 14:49:02 GMT+08:00 2023","Wed Jul 12 14:49:11 GMT+08:00 2023","9657","tests","首页","TestShouye_1","","","test_liangyou",""
"passed","Thu Aug 24 10:00:47 GMT+08:00 2023","Thu Aug 24 10:01:05 GMT+08:00 2023","17923","tests","首页","TestShouYe_1","","","test_handle_modal_02",""
"passed","Thu Aug 24 10:00:33 GMT+08:00 2023","Thu Aug 24 10:00:47 GMT+08:00 2023","14267","tests","首页","TestShouYe_1","","","test_handle_modal_01",""
"broken","Fri Aug 18 19:07:43 GMT+08:00 2023","Fri Aug 18 19:07:47 GMT+08:00 2023","3972","tests","首页","TestShouye_1","","","test_handle_modal",""
"passed","Wed Aug 23 15:00:46 GMT+08:00 2023","Wed Aug 23 15:01:00 GMT+08:00 2023","14204","tests","首页","TestShouye_1","","","test_handle_modal_01",""
"passed","Wed Aug 23 15:01:00 GMT+08:00 2023","Wed Aug 23 15:01:14 GMT+08:00 2023","13633","tests","首页","TestShouye_1","","","test_handle_modal_02",""
"passed","Thu Aug 24 10:00:10 GMT+08:00 2023","Thu Aug 24 10:00:16 GMT+08:00 2023","5692","","","","","","test_handle_modal_01",""
"passed","Wed Aug 23 15:47:14 GMT+08:00 2023","Wed Aug 23 15:47:24 GMT+08:00 2023","10445","","","","","","test_handle_modal_01",""
"passed","Wed Aug 23 15:49:19 GMT+08:00 2023","Wed Aug 23 15:49:23 GMT+08:00 2023","3919","","","","","","test_handle_modal_01",""
"passed","Wed Aug 23 15:01:19 GMT+08:00 2023","Wed Aug 23 15:01:22 GMT+08:00 2023","3336","tests","首页","TestShouye_1","","","test_liangyou",""
"passed","Wed Aug 23 15:48:05 GMT+08:00 2023","Wed Aug 23 15:48:19 GMT+08:00 2023","13911","tests","首页","TestShouYe_1","","","test_handle_modal_04",""
"passed","Wed Aug 23 16:16:13 GMT+08:00 2023","Wed Aug 23 16:16:18 GMT+08:00 2023","5143","","","","","","test_handle_modal_01",""
"passed","Thu Aug 24 10:01:05 GMT+08:00 2023","Thu Aug 24 10:01:10 GMT+08:00 2023","5164","tests","首页","TestShouYe_1","","","test_liangyou",""
"passed","Wed Aug 23 15:01:14 GMT+08:00 2023","Wed Aug 23 15:01:19 GMT+08:00 2023","5496","tests","首页","TestShouye_1","","","test_handle_modal_03",""
